"geneSymbol","diseaseName"
"AASS","Hepatitis, Toxic|Hyperlysinemias|Hyperlysinemia, Periodic|Saccharopinuria|Hyperlysinemia, type I|Drug-Induced Liver Disease|Lysine Alpha-Ketoglutarate Reductase Deficiency Disease|Hepatitis, Drug-Induced|Alpha-Aminoadipic Semialdehyde Deficiency Disease|Saccharopine dehydrogenase deficiency|Drug-Induced Acute Liver Injury|Intellectual Disability|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"AATK","Adenocarcinoma of lung (disorder)|Ovarian Mucinous Adenocarcinoma"
"ABAT","Autistic Disorder|Gastroesophageal reflux disease|Jacksonian Seizure|Lethargy|Liver Cirrhosis, Experimental|Flaccid Muscle Tone|Muscle hypotonia|Psychomotor Disorders|Reflex, Abnormal|Seizures|Complex partial seizures|Reflex, Corneal, Decreased|Hyporeflexia|Hyperreflexia|Absent reflex|Generalized seizures|Clonic Seizures|Reflex, Gag, Absent|Reflex, Deep Tendon, Absent|Visual seizure|Tonic Seizures|Epileptic drop attack|Hoffman's Reflex|Reflex, Pendular|Reflex, Corneal, Absent|Gamma aminobutyric acid transaminase deficiency|Seizures, Somatosensory|Seizures, Auditory|Olfactory seizure|Gustatory seizure|Vertiginous seizure|Motor retardation|Developmental delay (disorder)|Floppy Muscles|Muscle Tone Atonic|Tonic - clonic seizures|Reflex, Acoustic, Abnormal|Global developmental delay|Reflex, Ankle, Absent|Reflex, Triceps, Absent|Reflex, Biceps, Absent|Reflex, Anal, Absent|Abnormal Deep Tendon Reflex|Non-epileptic convulsion|Single Seizure|Atonic Absence Seizures|Unilateral Hypotonia|Developmental Psychomotor Disorders|Bulbocavernosus Reflex, Decreased|Bulbocavernousus Reflex Absent|Palmo-Mental Reflex|Reflex, Anal, Decreased|Reflex, Ankle, Abnormal|Reflex, Ankle, Decreased|Reflex, Biceps, Abnormal|Reflex, Biceps, Decreased|Reflex, Gag, Decreased|Reflex, Knee, Abnormal|Reflex, Knee, Decreased|Reflex, Moro, Asymmetric|Reflex, Triceps, Abnormal|Reflex, Triceps, Decreased|Convulsive Seizures|Seizures, Focal|Seizures, Sensory|Neonatal Hypotonia|Nonepileptic Seizures|Convulsions|Absence Seizures|Epileptic Seizures|Myoclonic Seizures|Generalized Absence Seizures"
"ABCA1","Atherosclerosis|Colorectal Carcinoma|Colorectal Neoplasms|Hypercholesterolemia|Hypercholesterolemia, Familial|Kidney Failure, Chronic|Schizophrenia|Tangier Disease|Apolipoprotein A-I deficiency|Hypoalphalipoproteinemias|Hyperlipoproteinemia Type IIa|Tangier Disease Neuropathy|Atherogenesis|Hyperlipoproteinemia Type IIb|Hypoalphalipoproteinemia, Familial|Familial HDL deficiency|Hdl Deficiency, Type 2|Peripheral Nervous System Diseases"
"ABCA10","Colorectal Carcinoma|Colorectal Neoplasms"
"ABCA12","Colorectal Carcinoma|Colorectal Neoplasms|Congenital ichthyosis|Congenital Nonbullous Ichthyosiform Erythroderma|Harlequin Fetus|Harlequin type ichthyosis|Pancreatic Ductal Adenocarcinoma|Lamellar ichthyosis, type 2|Ichthyosis Congenita II|Collodion Fetus|Ichthyosis Congenita I"
"ABCA13","Bipolar Disorder|Colorectal Carcinoma|Colorectal Neoplasms|Schizophrenia|Disease Exacerbation"
"ABCA3","Malignant neoplasm of breast|Colorectal Carcinoma|Colorectal Neoplasms|Pathological accumulation of air in tissues|Hyaline Membrane Disease|Pulmonary Hypertension|Pulmonary Fibrosis|Respiratory Distress Syndrome, Newborn|Hamman-Rich syndrome|Respiratory Distress Syndrome|Idiopathic Pulmonary Fibrosis|Cataract microcornea syndrome|Surfactant Metabolism Dysfunction, Pulmonary, 3|Alveolitis, Fibrosing"
"ABCA4","Malignant neoplasm of breast|Cleft upper lip|Colorectal Carcinoma|Colorectal Neoplasms|Disorder of eye|Retinitis Pigmentosa|Age related macular degeneration|Stargardt's disease|Familial Exudative Vitreoretinopathy|STARGARDT DISEASE 1 (disorder)|Retinal Dystrophy, Early Onset Severe|CONE-ROD DYSTROPHY 3 (disorder)|RETINITIS PIGMENTOSA 19|Cone-Rod Dystrophy 2|Macular Degeneration, Age-Related, 2|Juvenile macular degeneration"
"ABCA5","Colorectal Carcinoma|Colorectal Neoplasms|Hypertrichosis Terminalis, Generalized, with or without Gingival Hyperplasia"
"ABCA6","Colorectal Carcinoma|Colorectal Neoplasms|Dermatitis, Allergic Contact"
"ABCA7","Alzheimer's Disease|Presenile dementia|Disease Exacerbation|Familial Alzheimer Disease (FAD)|Alzheimer Disease, Late Onset|Acute Confusional Senile Dementia|Alzheimer's Disease, Focal Onset|Alzheimer Disease, Early Onset|Alzheimer Disease 9|ALZHEIMER DISEASE 9, SUSCEPTIBILITY TO"
"ABCA8","Colorectal Carcinoma|Colorectal Neoplasms"
"ABCA9","Colorectal Carcinoma|Colorectal Neoplasms"
"ABCB1","Arthritis, Adjuvant-Induced|Rheumatoid Arthritis|Behavior Disorders|Mental disorders|Malignant neoplasm of breast|Malignant Neoplasms|Cannabis Abuse|Cannabis Dependence|Carcinoma|Non-Small Cell Lung Carcinoma|Ulcerative Colitis|Colorectal Carcinoma|Colorectal Neoplasms|Mental Depression|Depressive disorder|Drug toxicity|Epilepsy|Escherichia coli Infections|Esophageal Neoplasms|Hashish Abuse|Congenital Heart Defects|Hepatitis, Toxic|Hypotension, Orthostatic|Kidney Neoplasm|Childhood Acute Lymphoblastic Leukemia|L2 Acute Lymphoblastic Leukemia|Liver Cirrhosis, Experimental|Marijuana Abuse|Nausea|Neoplasm Metastasis|Neoplasms|nervous system disorder|Neuroblastoma|Neutropenia|Pain, Postoperative|Parkinson Disease|Secondary Parkinson Disease|Psychotic Disorders|Schizophrenia|Chromosomal translocation|Unipolar Depression|Adverse reaction to drug|Vomiting|Diffuse Large B-Cell Lymphoma|Epilepsy, Cryptogenic|Benign Neoplasm|Encephalopathy, Toxic|Toxic Encephalitis|Anaplastic carcinoma|Carcinoma, Spindle-Cell|Undifferentiated carcinoma|Carcinomatosis|Adrenocortical carcinoma|Neurotoxicity Syndromes|Disease Exacerbation|Aura|Cannabis-Related Disorder|Diagnosis, Psychiatric|Hematopoietic Neoplasms|Hematologic Neoplasms|Malignant neoplasm of esophagus|Breast Carcinoma|Malignant neoplasm of kidney|Awakening Epilepsy|Parkinson Disease, Secondary Vascular|Atherosclerotic Parkinsonism|Drug-Induced Liver Disease|Arthritis, Collagen-Induced|Arthritis, Experimental|Squamous cell carcinoma of the head and neck|Mammary Neoplasms, Human|Hepatitis, Drug-Induced|Major Depressive Disorder|Mammary Neoplasms|COLCHICINE RESISTANCE|Precursor Cell Lymphoblastic Leukemia Lymphoma|Liver carcinoma|Inflammatory Bowel Disease 13|Drug-Induced Acute Liver Injury|Mental Disorders, Severe|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity|Mammary Carcinoma, Human|Peripheral Nervous System Diseases"
"ABCB10","Malignant neoplasm of breast|Colorectal Carcinoma|Colorectal Neoplasms"
"ABCB11","Afibrinogenemia|Cholestasis|Intrahepatic Cholestasis|Colorectal Carcinoma|Colorectal Neoplasms|Pruritus|Progressive intrahepatic cholestasis (disorder)|Cholestasis of pregnancy|Congenital hypofibrinogenemia|Cholestasis, benign recurrent intrahepatic 2|Cholestasis, Progressive Familial Intrahepatic, 2|Fibrinogen Deficiency|Cholestasis, progressive familial intrahepatic 1|Cholestasis, benign recurrent intrahepatic 1"
"ABCB4","Cholangitis|Primary biliary cirrhosis|Cholangitis, Sclerosing|Cholelithiasis|Colorectal Carcinoma|Colorectal Neoplasms|Inflammation|Jaundice, Obstructive|Liver Cirrhosis|Biliary cirrhosis|Liver diseases|Liver Dysfunction|Disease Exacerbation|Secondary Biliary Cholangitis|Fibrosis, Liver|Progressive intrahepatic cholestasis (disorder)|Cholestasis of pregnancy|Non-alcoholic Fatty Liver Disease|Primary sclerosing cholangitis|End Stage Liver Disease|Cholecystolithiasis|Cholestasis, progressive familial intrahepatic 3|Liver carcinoma|Low phospholipid-associated cholelithiasis|Chronic Liver Failure|Nonalcoholic Steatohepatitis|Familial intrahepatic cholestasis of pregnancy|CHOLESTASIS, INTRAHEPATIC, OF PREGNANCY 3|Biliary Cirrhosis, Primary, 1|Cholestasis, progressive familial intrahepatic 1|Cholestasis, benign recurrent intrahepatic 1"
"ABCB5","Colorectal Carcinoma|Colorectal Neoplasms|melanoma|Pancreatic Ductal Adenocarcinoma"
"ABCB6","Malignant neoplasm of breast|Colorectal Carcinoma|Colorectal Neoplasms|Polycystic Ovary Syndrome|Coloboma of optic disc|Congenital coloboma of iris|Coloboma of lens|Coloboma of eyelid|Sclerocystic Ovaries|Dyschromatosis universalis|Pseudohyperkalemia, Familial, 2, due to Red Cell Leak|Hereditary macular coloboma|Microphthalmia associated with colobomatous cyst|MICROPHTHALMIA, ISOLATED, WITH COLOBOMA 7|DYSCHROMATOSIS UNIVERSALIS HEREDITARIA 3|Coloboma of choroid and retina"
"ABCB7","Sideroblastic anemia|Ataxia|Ataxia, Sensory|Ataxia, Motor|Ataxia, Truncal|Abnormal coordination|Ataxia, Appendicular|Tremor, Rubral|ANEMIA, SIDEROBLASTIC, AND SPINOCEREBELLAR ATAXIA"
"ABCB8","Malignant neoplasm of breast"
"ABCC1","Malignant neoplasm of breast|Colorectal Carcinoma|Colorectal Neoplasms|Drug toxicity|Heart Diseases|Hepatitis, Toxic|Hypertensive disease|Adverse reaction to drug|Disease Exacerbation|Breast Carcinoma|Drug-Induced Liver Disease|Squamous cell carcinoma of the head and neck|Mammary Neoplasms, Human|Hepatitis, Drug-Induced|Mammary Neoplasms|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity|Mammary Carcinoma, Human|Peripheral Nervous System Diseases"
"ABCC11","Disease Exacerbation"
"ABCC12","Bone Marrow Diseases|Drug toxicity|Adverse reaction to drug"
"ABCC13","Colorectal Carcinoma|Colorectal Neoplasms"
"ABCC2","Alopecia|Rheumatoid Arthritis|Primary biliary cirrhosis|Cholestasis|Colorectal Carcinoma|Colorectal Neoplasms|Drug Allergy|Drug toxicity|Gastrointestinal Diseases|Heart Diseases|Hepatitis, Toxic|Hyperbilirubinemia|Jacksonian Seizure|Jaundice, Chronic Idiopathic|Biliary cirrhosis|Liver Cirrhosis, Experimental|nervous system disorder|Seizures|Status Epilepticus|Adverse reaction to drug|Pseudopelade|Complex partial seizures|Androgenetic Alopecia|Generalized seizures|Clonic Seizures|Secondary Biliary Cholangitis|Female pattern alopecia (disorder)|Cholestasis of pregnancy|Petit mal status|Visual seizure|Tonic Seizures|Epileptic drop attack|Squamous cell carcinoma of esophagus|Grand Mal Status Epilepticus|Complex Partial Status Epilepticus|Non-alcoholic Fatty Liver Disease|Seizures, Somatosensory|Seizures, Auditory|Olfactory seizure|Gustatory seizure|Vertiginous seizure|Tonic - clonic seizures|Functional Gastrointestinal Disorders|Non-epileptic convulsion|Single Seizure|Atonic Absence Seizures|Convulsive Seizures|Seizures, Focal|Seizures, Sensory|Status Epilepticus, Subclinical|Non-Convulsive Status Epilepticus|Simple Partial Status Epilepticus|Drug-Induced Liver Disease|Squamous cell carcinoma of the head and neck|Hepatitis, Drug-Induced|Cholera Infantum|Nonalcoholic Steatohepatitis|Nonepileptic Seizures|Drug-Induced Acute Liver Injury|Convulsions|Alopecia, Male Pattern|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity|Absence Seizures|Epileptic Seizures|Myoclonic Seizures|Generalized Absence Seizures|Biliary Cirrhosis, Primary, 1"
"ABCC3","Rheumatoid Arthritis|Cholestasis|Colorectal Carcinoma|Colorectal Neoplasms|Hepatomegaly"
"ABCC4","Rheumatoid Arthritis|Cognition Disorders|Colorectal Carcinoma|Colorectal Neoplasms|Drug abuse|Drug habituation|Drug toxicity|Drug Use Disorders|Endometriosis|Neoplasm Metastasis|Organic Mental Disorders, Substance-Induced|Prostatic Neoplasms|Substance Dependence|Substance Use Disorders|Adverse reaction to drug|Substance-Related Disorders|Endometrioma|Complications of Diabetes Mellitus|Malignant neoplasm of prostate|Substance abuse problem|Drug Dependence|Prescription Drug Abuse"
"ABCC5","Rheumatoid Arthritis|Colorectal Carcinoma|Colorectal Neoplasms|Liver Cirrhosis, Experimental"
"ABCC6","Colorectal Carcinoma|Colorectal Neoplasms|Moyamoya Disease|Pseudoxanthoma Elasticum|Disease Exacerbation|Idiopathic arterial calcification of infancy|Gronblad-Strandberg Syndrome|Arterial calcification of infancy|Pseudoxanthoma Elasticum, Incomplete|ARTERIAL CALCIFICATION, GENERALIZED, OF INFANCY, 2"
"ABCC8","Colorectal Carcinoma|Colorectal Neoplasms|Diabetes Mellitus, Insulin-Dependent|Diabetes Mellitus, Non-Insulin-Dependent|Neonatal diabetes mellitus|Diabetes, Autoimmune|Hypoglycemia, leucine-induced|Maturity onset diabetes mellitus in young|Brittle diabetes|Diabetes Mellitus, Transient Neonatal, 1|DIABETES MELLITUS, PERMANENT NEONATAL|DIABETES MELLITUS, TRANSIENT NEONATAL, 2 (disorder)|Developmental Delay, Epilepsy, and Neonatal Diabetes|Hyperinsulinemic hypoglycemia, familial, 1|Hyperinsulinemic hypoglycemia, familial, 2|Diabetes Mellitus, Ketosis-Prone|Congenital Hyperinsulinism|Monogenic diabetes|Autosomal dominant hyperinsulinism due to SUR1 deficiency|Diabetes Mellitus, Sudden-Onset"
"ABCC9","Atrial Fibrillation|Cardiomyopathy, Dilated|Endometrial Neoplasms|Endometriosis|Tachycardia, Ventricular|Depressive Symptoms|Shortened QT interval|Endometrioma|Familial dilated cardiomyopathy|Endometrial Carcinoma|Cantu syndrome|Acromegaloid facial appearance syndrome|Cardiomyopathies|Brugada Syndrome (disorder)|CARDIOMYOPATHY, DILATED, 1O|ATRIAL FIBRILLATION, FAMILIAL, 1 (disorder)|ATRIAL FIBRILLATION, FAMILIAL, 12"
"ABCD1","Adrenal gland hypofunction|Paraparesis, Spastic|Spastic Paraplegia, Hereditary|Adrenoleukodystrophy|Adrenomyeloneuropathy|Contiguous Abcd1-Dxs1375e Deletion Syndrome"
"ABCD2","Colorectal Carcinoma|Colorectal Neoplasms|Pancreatic Ductal Adenocarcinoma"
"ABCD3","Colorectal Carcinoma|Colorectal Neoplasms|Zellweger Syndrome|Zellweger-Like Syndrome|Zellweger Spectrum|BILE ACID SYNTHESIS DEFECT, CONGENITAL, 5"
"ABCD4","Colorectal Carcinoma|Colorectal Neoplasms|Inborn Errors of Metabolism|Vitamin B 12 Deficiency|Disease Exacerbation|METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblJ TYPE"
"ABCE1","Colorectal Carcinoma|Colorectal Neoplasms"
"ABCF1","Hypersensitivity|Pneumonia|Lobar Pneumonia|Disease Exacerbation|Experimental Lung Inflammation|Allergic Reaction|Pneumonitis"
"ABCF2","Disease Exacerbation"
"ABCG1","Colorectal Carcinoma|Colorectal Neoplasms|Kidney Failure, Chronic|Liver Cirrhosis, Experimental|Weight Gain"
"ABCG2","Adenoma|Rheumatoid Arthritis|Malignant neoplasm of breast|Primary biliary cirrhosis|Colorectal Carcinoma|Colorectal Neoplasms|Drug toxicity|Gout|Biliary cirrhosis|Mammary Neoplasms, Experimental|nervous system disorder|Adverse reaction to drug|Diffuse Large B-Cell Lymphoma|Adenoma, Basal Cell|Follicular adenoma|Adenoma, Microcystic|Adenoma, Monomorphic|Papillary adenoma|Adenoma, Trabecular|Secondary Biliary Cholangitis|Breast Carcinoma|Hyperuricemia|Squamous cell carcinoma of the head and neck|Mammary Neoplasms, Human|Mammary Neoplasms|URIC ACID CONCENTRATION, SERUM, QUANTITATIVE TRAIT LOCUS 1|Precursor T-Cell Lymphoblastic Leukemia-Lymphoma|Biliary Cirrhosis, Primary, 1|Mammary Carcinoma, Human"
"ABCG5","Atherosclerosis|Blood Platelet Disorders|Coronary Arteriosclerosis|Coronary heart disease|Hypercholesterolemia|Hypercholesterolemia, Familial|Lipid Metabolism, Inborn Errors|Liver Cirrhosis, Experimental|Prostatic Neoplasms|Xanthomatosis|Dyslipidemias|Xanthoma|Familial hypercholesterolemia - homozygous|Sitosterolemia|Malignant neoplasm of prostate|Dyslipoproteinemias|Atherogenesis|Coronary Artery Disease|Macrothrombocytopenia-Stomatocytosis, Mediterranean"
"ABCG8","Blood Platelet Disorders|Common Bile Duct Calculi|Coronary Arteriosclerosis|Hypercholesterolemia|Hypercholesterolemia, Familial|Liver Cirrhosis, Experimental|Biliary calculi|Cholestasis of pregnancy|Familial hypercholesterolemia - homozygous|Sitosterolemia|Coronary Artery Disease|GALLBLADDER DISEASE 4|Macrothrombocytopenia-Stomatocytosis, Mediterranean"
"ABHD12","Ataxias, Hereditary|Disorder of eye|Sensorineural Hearing Loss (disorder)|Nystagmus|Optic Atrophy|Retinitis Pigmentosa|Tremor|Hyporeflexia|Subcapsular cataract|Peripheral demyelinating neuropathy|Sensorimotor neuropathy|hearing impairment|Distal sensory impairment|Decreased nerve conduction velocity|Nystagmus, CTCAE 3.0|Polyneuropathy, Hearing Loss, Ataxia, Retinitis Pigmentosa, And Cataract|Distal muscle atrophy due to neurologic disease|Normal serum phytanic and pristanic acid|METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblJ TYPE|Nystagmus, CTCAE 5.0"
"ABHD12B","Malignant neoplasm of breast"
"ABHD5","Triglyceride storage disease with ichthyosis|hearing impairment"
"ABI1","Hepatitis, Toxic|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"ABI3","Alzheimer's Disease|Presenile dementia|Familial Alzheimer Disease (FAD)|Alzheimer Disease, Late Onset|Acute Confusional Senile Dementia|Alzheimer's Disease, Focal Onset|Alzheimer Disease, Early Onset"
"ABI3BP","Endometriosis|Unipolar Depression|Endometrioma|Major Depressive Disorder"
"ABL1","Adenocarcinoma|Arachnodactyly|Bone Diseases, Developmental|Malignant neoplasm of breast|Burkitt Lymphoma|Esophageal Neoplasms|Failure to Thrive|Congenital Heart Defects|Childhood Acute Lymphoblastic Leukemia|L2 Acute Lymphoblastic Leukemia|Myeloid Leukemia, Chronic|Liver neoplasms|melanoma|Neoplasms, Experimental|Precancerous Conditions|Syndactyly|Congenital musculoskeletal anomalies|Adenocarcinoma, Basal Cell|Adenocarcinoma, Oxyphilic|Carcinoma, Cribriform|Carcinoma, Granular Cell|Adenocarcinoma, Tubular|Clinodactyly of fingers|Condition, Preneoplastic|Malignant neoplasm of liver|Large cell carcinoma of lung|Malignant neoplasm of esophagus|Carcinogenesis|Breast Carcinoma|Mammary Neoplasms, Human|Precursor B-cell lymphoblastic leukemia|Mammary Neoplasms|Precursor T-Cell Lymphoblastic Leukemia-Lymphoma|Precursor Cell Lymphoblastic Leukemia Lymphoma|CONGENITAL HEART DEFECTS AND SKELETAL MALFORMATIONS SYNDROME|Clinodactyly|Mammary Carcinoma, Human"
"ABLIM1","Drug abuse|Drug habituation|Drug Use Disorders|Organic Mental Disorders, Substance-Induced|Substance Dependence|Substance Use Disorders|Substance-Related Disorders|Substance abuse problem|Drug Dependence|Prescription Drug Abuse"
"ABLIM2","Pancreatic Ductal Adenocarcinoma"
"ABLIM3","Liver Cirrhosis, Experimental"
"ABO","Alcoholic Intoxication, Chronic|Coronary Arteriosclerosis|Curling Ulcer|Duodenal Ulcer|Pancreatic Neoplasm|Prostatic Neoplasms|Cerebrovascular accident|Alcohol abuse|Malignant neoplasm of pancreas|Malignant neoplasm of prostate|Mood Disorders|Acute Cerebrovascular Accidents|Coronary Artery Disease|Diverticular Diseases|Diverticular Bleeding|Carcinoma, Ovarian Epithelial"
"ABR","Prostatic Neoplasms|Malignant neoplasm of prostate"
"ABRA","Cardiomyopathy, Dilated|Cardiomyopathy, Familial Idiopathic"
"ABRAXAS1","Malignant neoplasm of breast"
"ABT1","Malignant neoplasm of stomach|Stomach Neoplasms|Disease Exacerbation|Hereditary Diffuse Gastric Cancer"
"ACAA2","Degenerative polyarthritis|Respiratory Distress Syndrome, Adult|Osteoarthrosis Deformans"
"ACACA","Colorectal Carcinoma|Heart failure|Congestive heart failure|Left-Sided Heart Failure|Heart Failure, Right-Sided|Acetyl-CoA: carboxylase deficiency|Myocardial Failure|Heart Decompensation|Liver carcinoma"
"ACACB","Insulin Resistance|Obesity|Insulin Sensitivity|Pancreatic Ductal Adenocarcinoma"
"ACAD8","Malignant neoplasm of stomach|Stomach Neoplasms|Disease Exacerbation|Hereditary Diffuse Gastric Cancer|Isobutyryl-CoA dehydrogenase deficiency"
"ACAD9","Acyl-CoA Dehydrogenase Family, Member 9, Deficiency of|MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 20"
"ACADL","Long chain acyl-CoA dehydrogenase deficiency"
"ACADM","Malignant neoplasm of breast|Obesity|Rhabdomyolysis|Sudden infant death syndrome|Weight Gain|Liver Failure|Medium-chain acyl-coenzyme A dehydrogenase deficiency|Necrotizing Enterocolitis"
"ACADS","Bipolar Disorder|Heart failure|Congestive heart failure|Left-Sided Heart Failure|Heart Failure, Right-Sided|Deficiency of butyryl-CoA dehydrogenase|Myocardial Failure|Heart Decompensation"
"ACADSB","Autistic Disorder|2-Methylbutyryl-CoA Dehydrogenase Deficiency"
"ACADVL","Anoxemia|Anoxia|Hypoxia|Metabolic myopathy|Erythrocyte Mean Corpuscular Hemoglobin Test|Hypoxemia|Finding of Mean Corpuscular Hemoglobin|Very long chain acyl-CoA dehydrogenase deficiency"
"ACAN","Rheumatoid Arthritis|Bagassosis|Pneumoconiosis|Muscular Dystrophy, Facioscapulohumeral|Disproportionate short stature|Spondyloepiphyseal Dysplasia, Kimberley Type|Spondyloepimetaphyseal Dysplasia, Aggrecan Type|Familial Osteochondritis Dissecans"
"ACAP1","Malignant neoplasm of breast|Colorectal Carcinoma"
"ACAT1","Jacksonian Seizure|Kidney Failure, Chronic|Liver Cirrhosis, Experimental|Seizures|Complex partial seizures|Generalized seizures|Clonic Seizures|Visual seizure|Tonic Seizures|Epileptic drop attack|Seizures, Somatosensory|Seizures, Auditory|Olfactory seizure|Gustatory seizure|Vertiginous seizure|Tonic - clonic seizures|Non-epileptic convulsion|Single Seizure|Atonic Absence Seizures|Convulsive Seizures|Seizures, Focal|Seizures, Sensory|Deficiency of acetyl-CoA acetyltransferase|Nonepileptic Seizures|Convulsions|Absence Seizures|Epileptic Seizures|Myoclonic Seizures|Generalized Absence Seizures"
"ACAT2","Cytosolic acetoacetyl-CoA thiolase deficiency"
"ACBD4","Liver Cirrhosis, Experimental"
"ACBD5","Cleft Palate"
"ACBD6","Profound Mental Retardation|Mental Retardation, Psychosocial|Mental deficiency|Intellectual Disability"
"ACCS","Malignant neoplasm of breast"
"ACD","Dyskeratosis Congenita|HOYERAAL-HREIDARSSON SYNDROME|Familial Atypical Mole Melanoma Syndrome|DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT 6"
"ACE","Adenocarcinoma|Albuminuria|Alcoholic Intoxication, Chronic|Alloxan Diabetes|Alzheimer's Disease|Cardiac Arrhythmia|Atrial Fibrillation|Autistic Disorder|Berylliosis|Bipolar Disorder|Cardiovascular Diseases|Celiac Disease|Brain Ischemia|Coronary Arteriosclerosis|Coronary heart disease|Coughing|Sudden death|Presenile dementia|Depressive disorder|Diabetes Mellitus, Experimental|Diabetic Nephropathy|Drug Allergy|Gaucher Disease|IGA Glomerulonephritis|Nodular glomerulosclerosis|Glycogen Storage Disease Type V|Heart failure|Congestive heart failure|Hypertensive disease|Pulmonary Hypertension|Hypotension|Infant, Premature, Diseases|Male infertility|Kidney Diseases|Kidney Failure, Chronic|Left-Sided Heart Failure|Lung diseases|Lung Neoplasms|Malignant neoplasm of stomach|Meningococcal Infections|Myocardial Infarction|Neoplasm Metastasis|Pneumonia, Viral|Pre-Eclampsia|Prostatic Neoplasms|Psychoses, Drug|Psychoses, Substance-Induced|Kidney Failure|Respiratory Tract Diseases|Schizophrenia|Staphylococcal Infections|Stomach Neoplasms|Streptozotocin Diabetes|Cerebrovascular accident|Unipolar Depression|Weight Gain|Depressive Symptoms|Left Ventricular Hypertrophy|Adenocarcinoma, Basal Cell|Adenocarcinoma, Oxyphilic|Carcinoma, Cribriform|Carcinoma, Granular Cell|Adenocarcinoma, Tubular|Chronic schizophrenia|Paroxysmal atrial fibrillation|Heart Failure, Right-Sided|Malignant neoplasm of lung|Allanson Pantzar McLeod syndrome|Gaucher Disease, Type 2 (disorder)|Gaucher Disease, Type 3 (disorder)|Familial Alzheimer Disease (FAD)|Depressed mood|Malignant neoplasm of prostate|Non-alcoholic Fatty Liver Disease|H/O: depression|Alzheimer Disease, Late Onset|Acute Confusional Senile Dementia|Alzheimer's Disease, Focal Onset|Alzheimer Disease, Early Onset|Acute Cerebrovascular Accidents|Subfertility, Male|Male sterility|Cerebral Ischemia|Coronary Restenosis|Severe Acute Respiratory Syndrome|Major Depressive Disorder|Staphylococcus aureus infection|Renal Insufficiency|Hereditary Diffuse Gastric Cancer|Coronary Artery Disease|Myocardial Failure|Heart Decompensation|Gaucher Disease, Type 1|Liver carcinoma|Beryllium Disease|Persistent atrial fibrillation|MICROVASCULAR COMPLICATIONS OF DIABETES, SUSCEPTIBILITY TO, 3 (finding)|Renal Tubular Dysgenesis With Choanal Atresia And Athelia|Cerebral Hemorrhage|Nonalcoholic Steatohepatitis|familial atrial fibrillation"
