"marker_symbol","impc_significant_parameter_name","gene_id"
"2210408I21Rik","Fat mass|Uterus|Fat/Body weight|Initial response to glucose challenge|Bone Mineral Density (excluding skull)|Lean mass|Heart weight|Kidney","72371"
"2310039H08Rik","Center resting time","67101"
"2510002D24Rik","Response amplitude - S|Testes|Epididymis","72307"
"2510009E07Rik","Coat - hair distribution - head|NKT Cells (panel B)|Heart|Heart weight|Adrenal gland|Snout size|CD8 CD25+ T cells|Kidney|T Subset","72190"
"2610008E11Rik","Kidney|Liver|Skin|Cue Baseline % Freezing Time|Heart","72128"
"2610301B20Rik","% Pre-pulse inhibition - PPI3","67157"
"2610318N02Rik","Insulin|Bone Mineral Content (excluding skull)|Bone Mineral Density (excluding skull)|Creatinine","70458"
"2610507B11Rik","Outcome|Viability Outcome|Heart weight|% Pre-pulse inhibition - PPI3|Cornea","72503"
"2610509F24Rik","Bone Area","69915"
"2700054A10Rik","Uterus|Eye with optic nerve","72578"
"2700097O09Rik","Epididymis|Limb grasp|Viability Outcome|Liver|Spleen weight","72658"
"2810001G20Rik","Viability Outcome","66456"
"3300002A11Rik","Mean platelet volume","100503812"
"3425401B19Rik","CD8 CD25+ T cells|Forelimb grip strength measurement mean|Potassium|Forelimb and hindlimb grip strength normalised against body weight|Hemoglobin|CD4 CD44-CD62L+ T cells|Forelimb grip strength normalised against body weight|Forelimb and hindlimb grip strength measurement mean","100504518"
"3830406C13Rik","Bone Mineral Density (excluding skull)|Lean/Body weight|Insulin|Red blood cell distribution width|Fat/Body weight","218734"
"4833420G17Rik","Basophil differential count|Eye with optic nerve|Body length|Heart","67392"
"4921509C19Rik","Body length","381393"
"4921536K21Rik","Lean mass|Aspartate aminotransferase|Fat mass|Lean/Body weight|Platelet count|Forelimb and hindlimb grip strength normalised against body weight|Fat/Body weight","67430"
"4930404H24Rik","BMC/Body weight|Fat/Body weight|Bone Mineral Density (excluding skull)|Free fatty acids|Triglycerides|Mean platelet volume|Lean/Body weight","78151"
"4930432K21Rik","Distance travelled - total|Whole arena average speed|Initial response to glucose challenge|Periphery average speed|Whole arena resting time","74666"
"4930451I11Rik","Lean/Body weight|Gross Findings Male|Gross Findings Female","78118"
"4930505A04Rik","Tremor|Glucose|Alkaline phosphatase","75087"
"4930524B15Rik","Gall bladder|Center resting time","67592"
"4930563E22Rik","Fasted blood glucose concentration","75304"
"4930590J08Rik","Gross Findings Male","381798"
"4930591A17Rik","Fat/Body weight|Lean/Body weight|Red blood cell distribution width|Bone Mineral Density (excluding skull)|Bone Mineral Content (excluding skull)|Fat mass|Lean mass","68175"
"4931406C07Rik","Left anterior chamber depth","70984"
"4931429L15Rik","Calcium","74361"
"4932411N23Rik","% Pre-pulse inhibition - PPI3","237029"
"4932438A13Rik","Hemorrhage|Percentage center time|Periphery permanence time|Fecal boli|Embryo Size|Lens|Viability Outcome|Center permanence time|Lens Opacity|Heart weight|Delayed embryonic development|Pallor|Response amplitude - S|Center distance travelled","229227"
"4932438H23Rik","Thyroxine|Thoracic processes","74387"
"4933402J07Rik","Area under glucose response curve","330820"
"4933402N03Rik","Dorsal coat/hair presence|Insulin|Skull shape|Fructosamine|Calcium","233918"
"4933427D14Rik","Outcome|Viability Outcome","74477"
"4933428G20Rik","QRS|Liver weight","100141474"
"4933430I17Rik","Alkaline phosphatase|Tibia length|Pancreas","214106"
"4933434E20Rik","Fat mass|Albumin|Bone Mineral Density (excluding skull)|Triglycerides|HDL-cholesterol|Total food intake|Total cholesterol|Viability Outcome|Fructosamine|Bone Mineral Content (excluding skull)","99650"
"5330434G04Rik","Creatine kinase|Aspartate aminotransferase","100043213"
"6430548M08Rik","Lymph node|Bone Mineral Content (excluding skull)|Kidney","234797"
"9530003J23Rik","Whole arena resting time|Number of rears - total|% Pre-pulse inhibition - PPI1","77397"
"9930012K11Rik","Potassium|Alanine aminotransferase|Left corneal thickness|Skin color - tail|Aspartate aminotransferase|Left inner nuclear layer|Right corneal thickness","268759"
"a","Skin|Lens Opacity|Kidney","11450"
"a","Skin|Lens Opacity|Kidney","11758"
"a","Skin|Lens Opacity|Kidney","13518"
"a","Skin|Lens Opacity|Kidney","14681"
"a","Skin|Lens Opacity|Kidney","17897"
"a","Skin|Lens Opacity|Kidney","21367"
"a","Skin|Lens Opacity|Kidney","22295"
"a","Skin|Lens Opacity|Kidney","50518"
"a","Skin|Lens Opacity|Kidney","50769"
"a","Skin|Lens Opacity|Kidney","59025"
"a","Skin|Lens Opacity|Kidney","67163"
"a","Skin|Lens Opacity|Kidney","72080"
"a","Skin|Lens Opacity|Kidney","108124"
"a","Skin|Lens Opacity|Kidney","109006"
"a","Skin|Lens Opacity|Kidney","110006"
"a","Skin|Lens Opacity|Kidney","110773"
"a","Skin|Lens Opacity|Kidney","208638"
"a","Skin|Lens Opacity|Kidney","230796"
"A1cf","Area under glucose response curve","69865"
"A2m","Spleen - MPATH pathological process term|Total bilirubin","11287"
"A2m","Spleen - MPATH pathological process term|Total bilirubin","232345"
"A430005L14Rik","Insulin","97159"
"A430078G23Rik","Creatinine|Insulin","102098"
"A830005F24Rik","Kidney|Heart","442803"
"A830019P07Rik","Insulin","329056"
"A830031A19Rik","Startle response|Albumin|Fat/Body weight|Platelet count|Lean/Body weight|Insulin","268391"
"A930004D18Rik","BMC/Body weight|Body length|Magnesium|Bone Mineral Content (excluding skull)","77940"
"A930017K11Rik","PR|Stroke Volume|Right corneal thickness|Right total retinal thickness|Left total retinal thickness|Right inner nuclear layer|Left inner nuclear layer","100034748"
"AA986860","Kidney","212439"
"Aadac","Eye with optic nerve|Uterus|Spleen|Thymus|Urinary bladder|Response amplitude - S|Kidney|Lean mass","67758"
"Aak1","% Pre-pulse inhibition - PPI1|Number of rears - total|Total protein|Bone Area|Tibia length|12kHz-evoked ABR Threshold|Response amplitude - S|% Freezing duration context-3|Context freezing total|% Context freezing total|Viability Outcome|18kHz-evoked ABR Threshold|% Freezing duration context-1|Albumin|Center average speed|% Freezing duration context-2|Periphery average speed|Whole arena average speed|Total bilirubin|LVIDd|24kHz-evoked ABR Threshold|Mean cell volume|Alkaline phosphatase|Initial response to glucose challenge|30kHz-evoked ABR Threshold","269774"
"Aamp","Outcome|Viability Outcome","227290"
"Aanat","Whole arena resting time|Whole arena average speed|Coat - color - back|Distance travelled - total|Coat - color pattern - back","11298"
"Aars2","Red blood cell distribution width|Viability Outcome|Vocalization","224805"
"Aasdh","Red blood cell distribution width|Lens Opacity","231326"
"Aasdhppt","Outcome|Forelimb and hindlimb grip strength normalised against body weight|Viability Outcome|Iris Pigmentation|Initial response to glucose challenge","67618"
"Aass","Sternum|Urinary bladder|Lymph node|Total cholesterol","30956"
"Aatf","Bone Mineral Density (excluding skull)|Periphery average speed|Outcome|% Pre-pulse inhibition - PPI3|BMC/Body weight|Lean mass|Periphery distance travelled","56321"
"AB124611","Heart|Kidney|Epididymis|PR","382062"
"Abat","Periphery permanence time|Percentage center movement time|Center distance travelled|Center permanence time|Percentage center time","268860"
"Abca1","Responsive to tactile stimuli|Eye with optic nerve - MPATH process term|Activity (body position)|Embryo Size|Retina (combined)|Right anterior chamber depth","11303"
"Abca12","Fat mass|Viability Outcome|Outer ear morpholgy|Facial Morphology|Edema|Skin Appearance|Periphery resting time","74591"
"Abca13","Urea (Blood Urea Nitrogen - BUN)|Genitalia - morphology","268379"
"Abca14","Mean cell volume|Red blood cell count","67928"
"Abca16","Lens|Cornea|Forelimb grip strength measurement mean|Limb grasp|Forelimb grip strength normalised against body weight","233810"
"Abca17","Eosinophil differential count|Potassium","381072"
"Abca2","Periphery average speed|Whole arena average speed|Distance travelled - total|Time mobile light side|Periphery distance travelled|Whole arena resting time","11305"
"Abca4","Vertebral Height|Fusion of vertebrae","11304"
"Abca6","Total protein|Aspartate aminotransferase|Spleen - MPATH pathological process term|% Pre-pulse inhibition - PPI2|Bone marrow - MPATH pathological process term|Albumin|Hematocrit|Triglycerides","76184"
"Abca7","Fasted blood glucose concentration|% Pre-pulse inhibition - Global|Time mobile dark side|rMSSD|HRV","27403"
"Abca8a","Lean/Body weight|Viability Outcome","217258"
"Abca9","Light side time spent|Dark side time spent","217262"
"Abcb11","Triglycerides|Fructosamine|Center distance travelled","27413"
"Abcb4","Glucose|White blood cell count|Spleen weight|Alkaline phosphatase|Alanine aminotransferase|Potassium|Monocyte cell count|HDL-cholesterol|Red blood cell distribution width|Mean cell hemoglobin concentration|Platelet count|Aspartate aminotransferase|Triglycerides|Mean corpuscular hemoglobin","18670"
"Abcb4","Glucose|White blood cell count|Spleen weight|Alkaline phosphatase|Alanine aminotransferase|Potassium|Monocyte cell count|HDL-cholesterol|Red blood cell distribution width|Mean cell hemoglobin concentration|Platelet count|Aspartate aminotransferase|Triglycerides|Mean corpuscular hemoglobin","18671"
"Abcb5","Alpha-amylase|Fructosamine|Thyroxine","77706"
"Abcb6","Vibrissae|Total cholesterol|Alkaline phosphatase","74104"
"Abcb9","% Pre-pulse inhibition - PPI4|Adrenal gland|Hematocrit|% Pre-pulse inhibition - PPI3|Mean corpuscular hemoglobin|Mean cell hemoglobin concentration|Lymph node","56325"
"Abcc2","Mean cell volume|Mean platelet volume|Mean corpuscular hemoglobin|Total cholesterol|Total bilirubin|Right kidney|Forelimb and hindlimb grip strength measurement mean|Left kidney|Forelimb and hindlimb grip strength normalised against body weight","12780"
"Abcc5","Whole arena resting time|Glucose|Limb grasp|Lymphocyte cell count|Area under glucose response curve|Periphery resting time|Eosinophil cell count|White blood cell count|Response amplitude - S","27416"
"Abcc8","Initial response to glucose challenge|Area under glucose response curve|Lean mass","20927"
"Abcd3","Bone Mineral Density (excluding skull)|Forelimb and hindlimb grip strength measurement mean|Forelimb and hindlimb grip strength normalised against body weight|Fasted blood glucose concentration|Lean mass|Lean/Body weight|Bone Mineral Content (excluding skull)|Body weight|Fat/Body weight|Area under glucose response curve","19299"
"Abce1","% Pre-pulse inhibition - PPI4|Lymphocyte differential count|Eye|Seminal vesicle|Outcome|Viability Outcome|Eye - MPATH pathological process term|Tibia length|% Pre-pulse inhibition - Global|Response amplitude - S|Skin - MPATH pathological process term|% Pre-pulse inhibition - PPI3|Skin - MPATH pathological entity term|Lymph node|Creatinine","24015"
"Abcg2","Urea (Blood Urea Nitrogen - BUN)|Fusion between cornea and lens|HDL-cholesterol|% Pre-pulse inhibition - PPI4","26357"
"Abcg3","Sodium|Chloride","27405"
"Abcg8","NK Subsets (Q1)|Contact righting|Red blood cell distribution width|Spleen|Albumin|Total cholesterol|Alkaline phosphatase|Spleen weight|Liver|DN NKT cells|Creatinine|CD4 CD44-CD62L+ T cells|Lens Opacity|Hqp|Gross Findings Female|Cholesterol ratio|DN CD44+CD62L+ NKT cells|Mean platelet volume|CD4 CD44+CD62L- T cells|Iron|T Cells (panel B)|Triglycerides|T cells (panel A)|LVPWd|CD8 CD25+ T cells|Weight|CD4 T cells|Mean corpuscular hemoglobin|CD8 CD44-CD62L+ T cells|Mean cell volume|Eosinophils|DN CD25+ NKT cells|Hemoglobin|Potassium|CD8 T cells|T Subset|Gross Findings Male|DN CD44+CD62L- NKT cells|B2B Cells|Mean cell hemoglobin concentration|Hematocrit","67470"
"Abhd10","Periphery average speed|Distance travelled - total|Whole arena average speed|Percent time in light|Percent time in dark|Gross Findings Male|Periphery distance travelled","213012"
"Abhd11","Eye with optic nerve|Uterus|Urinary bladder|% Pre-pulse inhibition - PPI1","68758"
"Abhd12b","Fasted blood glucose concentration|Periphery distance travelled","100504285"
"Abhd13","Latency to first transition into dark|Spleen weight|Eye with optic nerve|Total holepokes|Red blood cell distribution width","68904"
"Abhd14a","Area under glucose response curve","68644"
"Abhd14b","Percent time in dark|Percent time in light","76491"
"Abhd15","Left outer nuclear layer|Forelimb grip strength measurement mean|Forelimb grip strength normalised against body weight","67477"
"Abhd16a","Free fatty acids|Calcium|BMC/Body weight|Viability Outcome|Initial response to glucose challenge|Alanine aminotransferase|Fasted blood glucose concentration|Total cholesterol|Magnesium|Insulin|Lean/Body weight|Red blood cell count|Fat/Body weight|White blood cell count|Gross Findings Male|Glucose|Potassium","193742"
"Abhd17a","Insulin|Area under glucose response curve|Fat/Body weight|Lean/Body weight|BMC/Body weight","216169"
"Abhd17b","Retina (combined)|Cornea|Pupil Dilation|Alkaline phosphatase","226016"
"Abhd17c","Heart|Kidney|Liver|Eye with optic nerve|Lymph node|Urinary bladder|Spleen|Skin","70178"
"Abhd3","Lymphocyte cell count|Fractional Shortening|LVAWd|White blood cell count|Mean platelet volume|LVPWd|LVIDs|Platelet count","106861"
"Abhd5","Testes - MPATH process term","67469"
"Abhd6","Center resting time","66082"
"Abhd8","Body length|Fat mass|Potassium|Chloride|Calcium|Total cholesterol|Left total retinal thickness|Left corneal thickness|Whole arena average speed","64296"
"Abi2","Periphery resting time|Center permanence time|Percentage center time|Seminal vesicle|Iris/Pupil|Center resting time|Whole arena resting time|Number of center entries|Cholesterol ratio|Percentage center movement time|Cornea|Urinary bladder|Testes|Center distance travelled|Periphery permanence time|Eye - MPATH pathological process term|Iris Pigmentation|Testis - MPATH pathological process term|Epididymis - MPATH pathological process term|% Pre-pulse inhibition - Global","329165"
"Abi3bp","Viability Outcome","320712"
"Abitram","Retinal Blood Vessels|BMC/Body weight","230234"
"Ablim2","Center distance travelled|Forelimb and hindlimb grip strength measurement mean|Whole arena average speed|Distance travelled - total|18kHz-evoked ABR Threshold","231148"
"Ablim3","Locomotor activity|RR|Neutrophil differential count|Spleen weight|HR|Lymphocyte differential count","319713"
"Abo","Skin|Testes","80908"
"Abraxas2","White blood cell count|Platelet count|Bone Mineral Density (excluding skull)|Mean platelet volume|Bone Mineral Content (excluding skull)|Thyroxine","109359"
"Abtb1","Fasted blood glucose concentration|Heart|Skin texture - whole body|Spleen|Whole liver weight","80283"
"Abtb2","White blood cell count|Forelimb grip strength normalised against body weight|Forelimb grip strength measurement mean","99382"
"Acaa1a","Aspartate aminotransferase|Creatine kinase|Mean platelet volume","113868"
"Acad10","Liver - MPATH pathological process term|Liver - MPATH pathological entity term|Spleen","71985"
"Acad11","Body length|12kHz-evoked ABR Threshold","102632"
"Acad12","Alpha-amylase|Fat/Body weight|Mean platelet volume","338350"
"Acadm","Vibrissae - appearance","11364"
"Acadsb","Lens|Lean mass|Light side time spent|Dark side time spent","66885"
"Acan","HDL-cholesterol|Total cholesterol|Viability Outcome","11595"
"Acap1","Urea (Blood Urea Nitrogen - BUN)|Triglycerides|Potassium|Fasted blood glucose concentration|RR|Calcium|Free fatty acids","216859"
"Acap2","Lean/Body weight|Lean mass|Vocalization","78618"
"Acat1","Percentage center movement time","110446"
"Acat2","Body wall morphology|Body length|Responsive to tactile stimuli|Embryo Size|Chloride","110460"
"Acbd3","Triglycerides|Response amplitude - S|Viability Outcome|Mean left eye lens density|Max right eye lens density|Mean right eye lens density|Mean cell volume","170760"
"Acbd5","Urea (Blood Urea Nitrogen - BUN)|Fat/Body weight|Alpha-amylase|Calcium|Free fatty acids|Total protein|Triglycerides|Sodium|Chloride|Limb grasping|Bone Mineral Density (excluding skull)|Glycerol|Creatinine|BMC/Body weight|Area under glucose response curve|Alkaline phosphatase|Albumin|Lean/Body weight|Body length|Platelet count|Lean mass|Bone Mineral Content (excluding skull)|Gait (inc. ataxia)|Glucose|Fat mass","74159"
"Ace","Delayed embryonic development|Embryo Size|Viability Outcome","11421"
"Acer1","Retina (combined)|HDL-cholesterol|Bone Mineral Density (excluding skull)|Dorsal coat/hair length|Glucose|Total cholesterol|Bone Mineral Content (excluding skull)|Ventral coat/hair presence","171168"
"Ache","Hemorrhage|Spontaneous movement|Heart|Albumin|Viability Outcome","11423"
"Ackr3","Viability Outcome|Right total retinal thickness|Forelimb grip strength normalised against body weight|Left total retinal thickness|Forelimb grip strength measurement mean|Tremor","12778"
"Acmsd","Iron|Lipase|Total bilirubin|Bone Mineral Density (excluding skull)","266645"
"Acnat2","Viability Outcome","209186"
"Aco1","Retina (combined)","11428"
"Acod1","Fat/Body weight|Lean/Body weight|Forelimb grip strength measurement mean","16365"
"Acot2","Forelimb and hindlimb grip strength normalised against body weight","171210"
"Acot3","Kidney|Eye with optic nerve","171281"
"Acot5","Alkaline phosphatase","217698"
"Acoxl","Lymph node|Seminal vesicle|Skin|Spleen|Heart|Liver|Center resting time|Initial response to glucose challenge|Adrenal gland","74121"
"Acsf2","Mean corpuscular hemoglobin|Bone Mineral Content (excluding skull)|Forelimb and hindlimb grip strength normalised against body weight|Mean cell volume|Time mobile light side|Bone Mineral Density (excluding skull)","264895"
"Acsf3","Right total retinal thickness|Iron","257633"
"Acsl4","Liver - MPATH process term|Body length|Viability Outcome","50790"
"Acsl5","Spleen weight|Corneal opacity|Red blood cell count|Lens|HDL-cholesterol|Heart weight|Glucose|Total protein|Triglycerides|Total bilirubin|Total cholesterol|Liver weight","433256"
"Acsm1","LVAWs","117147"
"Acsm2","% Pre-pulse inhibition - Global|Total cholesterol|Coat - hair texture / appearance - abdomen|% Pre-pulse inhibition - PPI3|Fat/Body weight|Glucose|Chloride|Lean/Body weight|HDL-cholesterol","233799"
"Actc1","% Pre-pulse inhibition - PPI2|Viability Outcome|Latency to first transition into dark|% Pre-pulse inhibition - Global|Red blood cell count","11464"
"Actg1","Viability Outcome|Pallor|Delayed embryonic development","11465"
"Actg2","Lens Opacity|Body length|Bone Mineral Content (excluding skull)","11468"
"Actl10","Red blood cell distribution width|Glucose","70362"
"Actl6b","Gross Findings Female|Viability Outcome|12kHz-evoked ABR Threshold","83766"
"Actl7b","Heart|Urinary bladder|Gross Findings Male|Uterus","11471"
"Actn4","Viability Outcome|Heart - MPATH diagnostic term|Heart - MPATH process term|Retina (combined)","60595"
"Actr5","Forebrain|Embryo turning|Delayed embryonic development|Embryo Size|Outcome|Hindbrain|Midbrain|Locomotor activity","109275"
"Actr6","Viability Outcome|Magnesium","67019"
"Actr8","Viability Outcome|Outcome|Bone Mineral Density (excluding skull)|Body length","56249"
"Actrt3","Whole arena resting time|Whole arena average speed|Periphery average speed|Coat - hair distribution - back|Distance travelled - total|Periphery distance travelled","76652"
"Acvr1","Outcome|Viability Outcome|Urea (Blood Urea Nitrogen - BUN)","11477"
"Acvr1b","Adrenal gland|Coat - hair distribution - abdomen|Lymph node|% Pre-pulse inhibition - Global|Uterus|% Pre-pulse inhibition - PPI3|Testes|Outcome","11479"
"Acvr1c","Time mobile dark side|Heart weight|Fat mass","269275"
"Acvr2a","Center permanence time|Percentage center time|Microphthalmia|Eosinophil differential count|Craniofacial morphology|Anophthalmia|Embryo Size|Neutrophil cell count|Eosinophil cell count|Periphery permanence time","11480"
"Acvr2b","Kidney|Response amplitude - S|Viability Outcome","11481"
"Acy1","rMSSD|Forelimb grip strength normalised against body weight|Forelimb and hindlimb grip strength normalised against body weight","109652"
"Acy1","rMSSD|Forelimb grip strength normalised against body weight|Forelimb and hindlimb grip strength normalised against body weight","242377"
"Acy3","Body length","71670"
"Adad1","Viability Outcome","21744"
"Adad2","Whole arena resting time|Latency to immobility|Gross Findings Male|Gross Findings Female","75773"
"Adal","Bone Mineral Density (excluding skull)|BMC/Body weight|Fat mass|Platelet count|Sodium|Bone Area|Lean mass|Bone Mineral Content (excluding skull)|HDL-cholesterol|Total cholesterol","75894"
"Adam11","Distance travelled - total|Activity (body position)|Whole arena average speed|Periphery distance travelled","11488"
"Adam17","Spleen - MPATH diagnostic term|Thymus - MPATH process term|Spleen - MPATH process term","11491"
"Adam20","Activity (body position)","384806"
"Adam23","Lower teeth appearance|Viability Outcome|Area under glucose response curve","23792"
"Adam26a","Total cholesterol|Epididymis|Testes|Albumin|12.5 Mch Enhanced pause|Insulin|Alkaline phosphatase|Total protein|baseline Enhanced pause|Creatinine|PBS Enhanced pause","13525"
"Adam32","Fat/Body weight|Bone Mineral Density (excluding skull)|BMC/Body weight|Fat mass|Lean mass|Lean/Body weight|Pupil Light Response|Bone Mineral Content (excluding skull)","353188"
"Adam33","Neutrophils|RP Macrophage (F4/80+)|Monocytes|Eosinophils","110751"
"Adam5","Gross Findings Male","11499"
"Adam8","Heart","11501"
"Adamts1","Eye Hemorrhage or Blood Presence|Kidney|Tail Morphology|Body wall morphology|Phosphorus|Spontaneous movement|Latency to first transition into dark|Heart|Spleen|Placenta Vasculature|Blood Vessel Morphology|Viability Outcome|Number of rears - total|Eye with optic nerve","11504"
"Adamts12","Testes|Lens Opacity","239337"
"Adamts13","Brain - MPATH process term|Eye with optic nerve - MPATH process term","279028"
"Adamts14","Alanine aminotransferase|Lens Opacity","237360"
"Adamts15","Gross Findings Male|Right lung weight|Epididymis|18kHz-evoked ABR Threshold","235130"
"Adamts16","Tremor|Potassium","271127"
"Adamts18","Fat/Body weight|Lens Opacity","208936"
"Adamts19","Mean corpuscular hemoglobin|Glucose","240322"
"Adamts3","Viability Outcome","330119"
"Adamts4","Bone Area","240913"
"Adamts6","Placenta Vasculature|Craniofacial morphology|Edema|Viability Outcome|Kidney|Eye with optic nerve|Placenta Morphology|Lens Opacity","108154"
"Adamts9","Embryo Size|Delayed embryonic development|Lymph node|Eye with optic nerve|Heart|Outcome|Viability Outcome","101401"
"Adamtsl3","Urinary bladder|Spleen|Lymph node","269959"
"Adamtsl4","Pupil Shape|Lens Opacity|Forelimb and hindlimb grip strength normalised against body weight|Forelimb and hindlimb grip strength measurement mean|Forelimb grip strength measurement mean|Coat - hair distribution - back|Forelimb grip strength normalised against body weight|Vibrissae - appearance|Pupil Position|Fecal boli|Vibrissae - presence","207596"
"Adamtsl4","Pupil Shape|Lens Opacity|Forelimb and hindlimb grip strength normalised against body weight|Forelimb and hindlimb grip strength measurement mean|Forelimb grip strength measurement mean|Coat - hair distribution - back|Forelimb grip strength normalised against body weight|Vibrissae - appearance|Pupil Position|Fecal boli|Vibrissae - presence","229595"
"Adamtsl5","Tibia length|Forelimb and hindlimb grip strength normalised against body weight|Fasted blood glucose concentration","66548"
"Adar","Pale yolk sac|Whole arena average speed|Glucose|Placenta Size|Viability Outcome|Neural Tube Closure|Embryo Size|Pallor|Distance travelled - total|Periphery average speed","56417"
"Adarb2","Limb grasp|Kidney|Coat - hair distribution - back|Spleen|Fasted blood glucose concentration|Testes","94191"
"Adck1","Lymph node","72113"
"Adck2","Body length|Learning difference|Learning slope|Breath rate during sleep standard deviation|Potassium","57869"
"Adck5","Total holepokes","268822"
"Adcy1","Whole arena average speed|Activity (body position)|Number of center entries|Coat - color pattern - back|Whole arena resting time|Distance travelled - total|Coat - color pattern - head|Periphery distance travelled|Aspartate aminotransferase|White blood cell count|Center average speed|Periphery average speed|Center resting time|Neutrophil differential count|Lymphocyte differential count|Periphery resting time|Spleen weight|Gait","432530"
"Adcy3","BMC/Body weight|Hematocrit|Red blood cell count|Viability Outcome|Hemoglobin|Creatine kinase","104111"
"Adcy6","Alkaline phosphatase","11512"
"Adcy9","Viability Outcome","11515"
"Adcyap1r1","Viability Outcome","11517"
"Adgb","Bone Mineral Content (excluding skull)|BMC/Body weight|Difference in Conditioning Post-shock and Conditioning Baseline % Freezing|Eye with optic nerve|Brain|Eosinophil cell count|Gross Findings Male|Albumin|Eosinophil differential count|Uterus|Skeletal muscle|Kidney","215772"
"Adgra1","Fat mass|Viability Outcome|Lean mass","52389"
"Adgrb1","Lean/Body weight|Transfer arousal|Fat/Body weight|White blood cell count|Chloride","107831"
"Adgrb2","Center average speed|Periphery average speed|Whole arena average speed|Periphery distance travelled|Whole arena resting time|Distance travelled - total","230775"
"Adgrb3","Retinal Blood Vessels","210933"
"Adgrd1","Bone Mineral Content (excluding skull)|BMC/Body weight|Urea (Blood Urea Nitrogen - BUN)|Bone Mineral Density (excluding skull)|Gross Findings Female","243277"
"Adgrf3","Heart weight","381628"
"Adgrf4","BMC/Body weight|Periphery average speed|Fat/Body weight","78249"
"Adgrf5","Mean cell hemoglobin concentration|Lung - MPATH pathological process term|Tibia length|Heart weight|Hemoglobin|Lymphocyte cell count|Mean corpuscular hemoglobin|Bone Mineral Content (excluding skull)|Spleen - MPATH pathological process term|BMC/Body weight|HDL-cholesterol|Forelimb grip strength normalised against body weight|Response amplitude - S|Mean cell volume|Total bilirubin|Total cholesterol|Bone Mineral Density (excluding skull)|White blood cell count|Hematocrit","224792"
"Adgrg5","Body length","382045"
"Adgrg7","Right total retinal thickness","239853"
"Adgrl3","Skin","319387"
"Adgrl4","Eye Hemorrhage or Blood Presence|Eye with optic nerve|Liver|Mean corpuscular hemoglobin|Mean cell volume|Lens Opacity|Skin","170757"
