"marker_symbol","impc_significant_procedure_name","gene_id"
"4930591A17Rik","Body Composition (DEXA lean/fat)|Hematology","68175"
"4931406C07Rik","Eye Morphology","70984"
"4931429L15Rik","Clinical Chemistry","74361"
"4932411N23Rik","Acoustic Startle and Pre-pulse Inhibition (PPI)","237029"
"4932438A13Rik","Gross Morphology Embryo E14.5-E15.5|Open Field - centre start|Light-Dark Test|Gross Morphology Embryo E12.5|Eye Morphology|Viability Primary Screen|Heart Weight|Acoustic Startle and Pre-pulse Inhibition (PPI)","229227"
"4932438H23Rik","Clinical Chemistry|X-ray","74387"
"4933402J07Rik","Intraperitoneal glucose tolerance test (IPGTT)","330820"
"4933402N03Rik","Combined SHIRPA and Dysmorphology|Insulin Blood Level|X-ray|Clinical Chemistry","233918"
"4933427D14Rik","Viability E9.5 Secondary Screen|Viability E12.5 Secondary Screen|Viability Primary Screen","74477"
"4933428G20Rik","Electrocardiogram (ECG)|Organ Weight","100141474"
"4933430I17Rik","Clinical Chemistry|X-ray|Gross Pathology and Tissue Collection","214106"
"4933434E20Rik","Body Composition (DEXA lean/fat)|Clinical Chemistry|Indirect Calorimetry|Viability Primary Screen","99650"
"5330434G04Rik","Clinical Chemistry","100043213"
"6430548M08Rik","Gross Pathology and Tissue Collection|Body Composition (DEXA lean/fat)","234797"
"9530003J23Rik","Open Field|Acoustic Startle and Pre-pulse Inhibition (PPI)","77397"
"9930012K11Rik","Clinical Chemistry|Eye Morphology|Combined SHIRPA and Dysmorphology","268759"
"a","Gross Pathology and Tissue Collection|Eye Morphology","11450"
"a","Gross Pathology and Tissue Collection|Eye Morphology","11758"
"a","Gross Pathology and Tissue Collection|Eye Morphology","13518"
"a","Gross Pathology and Tissue Collection|Eye Morphology","14681"
"a","Gross Pathology and Tissue Collection|Eye Morphology","17897"
"a","Gross Pathology and Tissue Collection|Eye Morphology","21367"
"a","Gross Pathology and Tissue Collection|Eye Morphology","22295"
"a","Gross Pathology and Tissue Collection|Eye Morphology","50518"
"a","Gross Pathology and Tissue Collection|Eye Morphology","50769"
"a","Gross Pathology and Tissue Collection|Eye Morphology","59025"
"a","Gross Pathology and Tissue Collection|Eye Morphology","67163"
"a","Gross Pathology and Tissue Collection|Eye Morphology","72080"
"a","Gross Pathology and Tissue Collection|Eye Morphology","108124"
"a","Gross Pathology and Tissue Collection|Eye Morphology","109006"
"a","Gross Pathology and Tissue Collection|Eye Morphology","110006"
"a","Gross Pathology and Tissue Collection|Eye Morphology","110773"
"a","Gross Pathology and Tissue Collection|Eye Morphology","208638"
"a","Gross Pathology and Tissue Collection|Eye Morphology","230796"
"A1cf","Intraperitoneal glucose tolerance test (IPGTT)","69865"
"A2m","Histopathology|Clinical Chemistry","11287"
"A2m","Histopathology|Clinical Chemistry","232345"
"A430005L14Rik","Insulin Blood Level","97159"
"A430078G23Rik","Clinical Chemistry|Insulin Blood Level","102098"
"A830005F24Rik","Gross Pathology and Tissue Collection","442803"
"A830019P07Rik","Insulin Blood Level","329056"
"A830031A19Rik","Combined SHIRPA and Dysmorphology|Clinical Chemistry|Body Composition (DEXA lean/fat)|Hematology|Insulin Blood Level","268391"
"A930004D18Rik","Body Composition (DEXA lean/fat)|Clinical Chemistry","77940"
"A930017K11Rik","Electrocardiogram (ECG)|Echo|Eye Morphology","100034748"
"AA986860","Gross Pathology and Tissue Collection","212439"
"Aadac","Gross Pathology and Tissue Collection|Acoustic Startle and Pre-pulse Inhibition (PPI)|Body Composition (DEXA lean/fat)","67758"
"Aak1","Acoustic Startle and Pre-pulse Inhibition (PPI)|Open Field|Clinical Chemistry|Body Composition (DEXA lean/fat)|X-ray|Auditory Brain Stem Response|Fear Conditioning|Heart Weight|Viability Primary Screen|Echo|Hematology|Intraperitoneal glucose tolerance test (IPGTT)","269774"
"Aamp","Viability E9.5 Secondary Screen|Viability Primary Screen","227290"
"Aanat","Open Field|Combined SHIRPA and Dysmorphology","11298"
"Aars2","Hematology|Viability Primary Screen|Combined SHIRPA and Dysmorphology","224805"
"Aasdh","Hematology|Eye Morphology","231326"
"Aasdhppt","Viability E9.5 Secondary Screen|Grip Strength|Viability Primary Screen|Eye Morphology|Intraperitoneal glucose tolerance test (IPGTT)","67618"
"Aass","Gross Pathology and Tissue Collection|Clinical Chemistry","30956"
"Aatf","Body Composition (DEXA lean/fat)|Open Field - centre start|Viability E9.5 Secondary Screen|Acoustic Startle and Pre-pulse Inhibition (PPI)","56321"
"AB124611","Gross Pathology and Tissue Collection|Electrocardiogram (ECG)","382062"
"Abat","Open Field","268860"
"Abca1","Gross Morphology Embryo E18.5|Histopathology|Combined SHIRPA and Dysmorphology|Eye Morphology","11303"
"Abca12","Body Composition (DEXA lean/fat)|Viability Primary Screen|Gross Morphology Embryo E18.5|Open Field - centre start","74591"
"Abca13","Clinical Chemistry|Combined SHIRPA and Dysmorphology","268379"
"Abca14","Hematology","67928"
"Abca16","Eye Morphology|Grip Strength|Combined SHIRPA and Dysmorphology","233810"
"Abca17","Hematology|Clinical Chemistry","381072"
"Abca2","Open Field - centre start|Light-Dark Test","11305"
"Abca4","Vertebral Microradiography|X-ray","11304"
"Abca6","Clinical Chemistry|Histopathology|Acoustic Startle and Pre-pulse Inhibition (PPI)|Hematology","76184"
"Abca7","Intraperitoneal glucose tolerance test (IPGTT)|Acoustic Startle and Pre-pulse Inhibition (PPI)|Light-Dark Test|Electrocardiogram (ECG)","27403"
"Abca8a","Body Composition (DEXA lean/fat)|Viability Primary Screen","217258"
"Abca9","Light-Dark Test","217262"
"Abcb11","Clinical Chemistry|Open Field","27413"
"Abcb4","Clinical Chemistry|Hematology|Organ Weight","18670"
"Abcb4","Clinical Chemistry|Hematology|Organ Weight","18671"
"Abcb5","Clinical Chemistry","77706"
"Abcb6","Combined SHIRPA and Dysmorphology|Clinical Chemistry","74104"
"Abcb9","Acoustic Startle and Pre-pulse Inhibition (PPI)|Gross Pathology and Tissue Collection|Hematology","56325"
"Abcc2","Hematology|Clinical Chemistry|Organ Weight|Grip Strength","12780"
"Abcc5","Open Field|Clinical Chemistry|Combined SHIRPA and Dysmorphology|Hematology|Intraperitoneal glucose tolerance test (IPGTT)|Acoustic Startle and Pre-pulse Inhibition (PPI)","27416"
"Abcc8","Intraperitoneal glucose tolerance test (IPGTT)|Body Composition (DEXA lean/fat)","20927"
"Abcd3","Body Composition (DEXA lean/fat)|Grip Strength|Intraperitoneal glucose tolerance test (IPGTT)|Heart Weight","19299"
"Abce1","Acoustic Startle and Pre-pulse Inhibition (PPI)|Hematology|Eye Morphology|Gross Pathology and Tissue Collection|Viability E9.5 Secondary Screen|Viability Primary Screen|Histopathology|X-ray|Clinical Chemistry","24015"
"Abcg2","Clinical Chemistry|Eye Morphology|Acoustic Startle and Pre-pulse Inhibition (PPI)","26357"
"Abcg3","Clinical Chemistry","27405"
"Abcg8","Immunophenotyping|Combined SHIRPA and Dysmorphology|Hematology|Gross Pathology and Tissue Collection|Clinical Chemistry|Organ Weight|Eye Morphology|Lung mechanics by forced oscillations|Fertility of Homozygous Knock-out Mice|Echo","67470"
"Abhd10","Open Field|Light-Dark Test|Fertility of Homozygous Knock-out Mice","213012"
"Abhd11","Gross Pathology and Tissue Collection|Acoustic Startle and Pre-pulse Inhibition (PPI)","68758"
"Abhd12b","Intraperitoneal glucose tolerance test (IPGTT)|Open Field - centre start","100504285"
"Abhd13","Light-Dark Test|Organ Weight|Gross Pathology and Tissue Collection|Hole-board Exploration|Hematology","68904"
"Abhd14a","Intraperitoneal glucose tolerance test (IPGTT)","68644"
"Abhd14b","Light-Dark Test","76491"
"Abhd15","Eye Morphology|Grip Strength","67477"
"Abhd16a","Clinical Chemistry|Body Composition (DEXA lean/fat)|Viability Primary Screen|Intraperitoneal glucose tolerance test (IPGTT)|Insulin Blood Level|Hematology|Fertility of Homozygous Knock-out Mice","193742"
"Abhd17a","Insulin Blood Level|Intraperitoneal glucose tolerance test (IPGTT)|Body Composition (DEXA lean/fat)","216169"
"Abhd17b","Eye Morphology|Clinical Chemistry","226016"
"Abhd17c","Gross Pathology and Tissue Collection","70178"
"Abhd3","Hematology|Echo","106861"
"Abhd5","Histopathology","67469"
"Abhd6","Open Field","66082"
"Abhd8","Body Composition (DEXA lean/fat)|Clinical Chemistry|Eye Morphology|Open Field - centre start","64296"
"Abi2","Open Field|Gross Pathology and Tissue Collection|Eye Morphology|Clinical Chemistry|Histopathology|Acoustic Startle and Pre-pulse Inhibition (PPI)","329165"
"Abi3bp","Viability Primary Screen","320712"
"Abitram","Eye Morphology|Body Composition (DEXA lean/fat)","230234"
"Ablim2","Open Field - centre start|Grip Strength|Auditory Brain Stem Response","231148"
"Ablim3","Combined SHIRPA and Dysmorphology|Electrocardiogram (ECG)|Hematology|Organ Weight","319713"
"Abo","Gross Pathology and Tissue Collection","80908"
"Abraxas2","Hematology|Body Composition (DEXA lean/fat)|Clinical Chemistry","109359"
"Abtb1","Intraperitoneal glucose tolerance test (IPGTT)|Gross Pathology and Tissue Collection|Combined SHIRPA and Dysmorphology|Organ Weight","80283"
"Abtb2","Hematology|Grip Strength","99382"
"Acaa1a","Clinical Chemistry|Hematology","113868"
"Acad10","Histopathology|Gross Pathology and Tissue Collection","71985"
"Acad11","Body Composition (DEXA lean/fat)|Auditory Brain Stem Response","102632"
"Acad12","Clinical Chemistry|Body Composition (DEXA lean/fat)|Hematology","338350"
"Acadm","Combined SHIRPA and Dysmorphology","11364"
"Acadsb","Eye Morphology|Body Composition (DEXA lean/fat)|Light-Dark Test","66885"
"Acan","Clinical Chemistry|Viability Primary Screen","11595"
"Acap1","Clinical Chemistry|Intraperitoneal glucose tolerance test (IPGTT)|Electrocardiogram (ECG)","216859"
"Acap2","Body Composition (DEXA lean/fat)|Combined SHIRPA and Dysmorphology","78618"
"Acat1","Open Field - centre start","110446"
"Acat2","Gross Morphology Embryo E18.5|Body Composition (DEXA lean/fat)|Clinical Chemistry","110460"
"Acbd3","Clinical Chemistry|Acoustic Startle and Pre-pulse Inhibition (PPI)|Viability Primary Screen|Eye Morphology|Hematology","170760"
"Acbd5","Clinical Chemistry|Body Composition (DEXA lean/fat)|Combined SHIRPA and Dysmorphology|Intraperitoneal glucose tolerance test (IPGTT)|Hematology","74159"
"Ace","Gross Morphology Embryo E9.5|Viability Primary Screen","11421"
"Acer1","Eye Morphology|Clinical Chemistry|Body Composition (DEXA lean/fat)|Combined SHIRPA and Dysmorphology","171168"
"Ache","Gross Morphology Embryo E18.5|Gross Pathology and Tissue Collection|Clinical Chemistry|Viability Primary Screen","11423"
"Ackr3","Viability Primary Screen|Eye Morphology|Grip Strength|Combined SHIRPA and Dysmorphology","12778"
"Acmsd","Clinical Chemistry|Body Composition (DEXA lean/fat)","266645"
"Acnat2","Viability Primary Screen","209186"
"Aco1","Eye Morphology","11428"
"Acod1","Body Composition (DEXA lean/fat)|Grip Strength","16365"
"Acot2","Grip Strength","171210"
"Acot3","Gross Pathology and Tissue Collection","171281"
"Acot5","Clinical Chemistry","217698"
"Acoxl","Gross Pathology and Tissue Collection|Open Field|Intraperitoneal glucose tolerance test (IPGTT)","74121"
"Acsf2","Hematology|Body Composition (DEXA lean/fat)|Grip Strength|Light-Dark Test","264895"
"Acsf3","Eye Morphology|Clinical Chemistry","257633"
"Acsl4","Histopathology|Body Composition (DEXA lean/fat)|Viability Primary Screen","50790"
"Acsl5","Organ Weight|Eye Morphology|Hematology|Clinical Chemistry|Heart Weight","433256"
"Acsm1","Echo","117147"
"Acsm2","Acoustic Startle and Pre-pulse Inhibition (PPI)|Clinical Chemistry|Combined SHIRPA and Dysmorphology|Body Composition (DEXA lean/fat)","233799"
"Actc1","Acoustic Startle and Pre-pulse Inhibition (PPI)|Viability Primary Screen|Light-Dark Test|Hematology","11464"
"Actg1","Viability Primary Screen|Gross Morphology Embryo E12.5","11465"
"Actg2","Eye Morphology|Body Composition (DEXA lean/fat)","11468"
"Actl10","Hematology|Clinical Chemistry","70362"
"Actl6b","Fertility of Homozygous Knock-out Mice|Viability Primary Screen|Auditory Brain Stem Response","83766"
"Actl7b","Gross Pathology and Tissue Collection|Fertility of Homozygous Knock-out Mice","11471"
"Actn4","Viability Primary Screen|Histopathology|Eye Morphology","60595"
"Actr5","Gross Morphology Embryo E9.5|Viability E12.5 Secondary Screen|Combined SHIRPA and Dysmorphology","109275"
"Actr6","Viability Primary Screen|Clinical Chemistry","67019"
"Actr8","Viability Primary Screen|Viability E9.5 Secondary Screen|Body Composition (DEXA lean/fat)","56249"
"Actrt3","Open Field - centre start|Combined SHIRPA and Dysmorphology","76652"
"Acvr1","Viability E9.5 Secondary Screen|Viability Primary Screen|Clinical Chemistry|Viability E12.5 Secondary Screen","11477"
"Acvr1b","Gross Pathology and Tissue Collection|Combined SHIRPA and Dysmorphology|Acoustic Startle and Pre-pulse Inhibition (PPI)|Viability E12.5 Secondary Screen","11479"
"Acvr1c","Light-Dark Test|Heart Weight|Body Composition (DEXA lean/fat)","269275"
"Acvr2a","Open Field|Gross Morphology Embryo E14.5-E15.5|Hematology","11480"
"Acvr2b","Gross Pathology and Tissue Collection|Acoustic Startle and Pre-pulse Inhibition (PPI)|Viability Primary Screen","11481"
"Acy1","Electrocardiogram (ECG)|Grip Strength","109652"
"Acy1","Electrocardiogram (ECG)|Grip Strength","242377"
"Acy3","Body Composition (DEXA lean/fat)","71670"
"Adad1","Viability Primary Screen","21744"
"Adad2","Open Field - centre start|Tail Suspension|Fertility of Homozygous Knock-out Mice","75773"
"Adal","Body Composition (DEXA lean/fat)|Hematology|Clinical Chemistry","75894"
"Adam11","Open Field|Combined SHIRPA and Dysmorphology","11488"
"Adam17","Histopathology","11491"
"Adam20","Combined SHIRPA and Dysmorphology","384806"
"Adam23","Combined SHIRPA and Dysmorphology|Viability Primary Screen|Intraperitoneal glucose tolerance test (IPGTT)","23792"
"Adam26a","Clinical Chemistry|Gross Pathology and Tissue Collection|Challenge Whole Body Plethysmography|Insulin Blood Level","13525"
"Adam32","Body Composition (DEXA lean/fat)|Eye Morphology","353188"
"Adam33","Immunophenotyping","110751"
"Adam5","Fertility of Homozygous Knock-out Mice","11499"
"Adam8","Gross Pathology and Tissue Collection","11501"
"Adamts1","Eye Morphology|Gross Pathology and Tissue Collection|Gross Morphology Embryo E18.5|Clinical Chemistry|Light-Dark Test|Gross Morphology Placenta E18.5|Viability Primary Screen|Open Field","11504"
"Adamts12","Gross Pathology and Tissue Collection|Eye Morphology","239337"
"Adamts13","Histopathology","279028"
"Adamts14","Clinical Chemistry|Eye Morphology","237360"
"Adamts15","Fertility of Homozygous Knock-out Mice|Organ Weight|Gross Pathology and Tissue Collection|Auditory Brain Stem Response","235130"
"Adamts16","Combined SHIRPA and Dysmorphology|Clinical Chemistry","271127"
"Adamts18","Body Composition (DEXA lean/fat)|Eye Morphology","208936"
"Adamts19","Hematology|Clinical Chemistry","240322"
"Adamts3","Viability Primary Screen","330119"
"Adamts4","Body Composition (DEXA lean/fat)","240913"
"Adamts6","Gross Morphology Placenta E14.5-E15.5|Gross Morphology Embryo E14.5-E15.5|Viability Primary Screen|Gross Pathology and Tissue Collection|Eye Morphology","108154"
"Adamts9","Gross Morphology Embryo E9.5|Gross Pathology and Tissue Collection|Viability E9.5 Secondary Screen|Viability Primary Screen","101401"
"Adamtsl3","Gross Pathology and Tissue Collection","269959"
"Adamtsl4","Eye Morphology|Grip Strength|Combined SHIRPA and Dysmorphology|Light-Dark Test","207596"
"Adamtsl4","Eye Morphology|Grip Strength|Combined SHIRPA and Dysmorphology|Light-Dark Test","229595"
"Adamtsl5","X-ray|Grip Strength|Intraperitoneal glucose tolerance test (IPGTT)","66548"
"Adar","Gross Morphology Embryo E12.5|Open Field - centre start|Clinical Chemistry|Gross Morphology Placenta E12.5|Viability Primary Screen","56417"
"Adarb2","Combined SHIRPA and Dysmorphology|Gross Pathology and Tissue Collection|Intraperitoneal glucose tolerance test (IPGTT)","94191"
"Adck1","Gross Pathology and Tissue Collection","72113"
"Adck2","Body Composition (DEXA lean/fat)|Rotarod|Sleep Wake|Clinical Chemistry","57869"
"Adck5","Hole-board Exploration","268822"
"Adcy1","Open Field|Combined SHIRPA and Dysmorphology|Clinical Chemistry|Hematology|Organ Weight","432530"
"Adcy3","Body Composition (DEXA lean/fat)|Hematology|Viability Primary Screen|Clinical Chemistry","104111"
"Adcy6","Clinical Chemistry","11512"
"Adcy9","Viability Primary Screen","11515"
"Adcyap1r1","Viability Primary Screen","11517"
"Adgb","Body Composition (DEXA lean/fat)|Fear Conditioning|Gross Pathology and Tissue Collection|Hematology|Fertility of Homozygous Knock-out Mice|Clinical Chemistry","215772"
"Adgra1","Body Composition (DEXA lean/fat)|Viability Primary Screen","52389"
"Adgrb1","Body Composition (DEXA lean/fat)|Combined SHIRPA and Dysmorphology|Hematology|Clinical Chemistry","107831"
"Adgrb2","Open Field - centre start","230775"
"Adgrb3","Eye Morphology","210933"
"Adgrd1","Body Composition (DEXA lean/fat)|Clinical Chemistry|Fertility of Homozygous Knock-out Mice","243277"
"Adgrf3","Heart Weight","381628"
"Adgrf4","Body Composition (DEXA lean/fat)|Open Field","78249"
"Adgrf5","Hematology|Histopathology|X-ray|Heart Weight|Body Composition (DEXA lean/fat)|Clinical Chemistry|Grip Strength|Acoustic Startle and Pre-pulse Inhibition (PPI)","224792"
"Adgrg5","Body Composition (DEXA lean/fat)","382045"
"Adgrg7","Eye Morphology","239853"
"Adgrl3","Gross Pathology and Tissue Collection","319387"
"Adgrl4","Eye Morphology|Gross Pathology and Tissue Collection|Hematology","170757"
"Adgrv1","Gross Pathology and Tissue Collection|Acoustic Startle and Pre-pulse Inhibition (PPI)|Auditory Brain Stem Response|Combined SHIRPA and Dysmorphology|X-ray","110789"
"Adh4","Clinical Chemistry","11529"
"Adh4","Clinical Chemistry","26876"
"Adh5","Combined SHIRPA and Dysmorphology","11532"
"Adh5","Combined SHIRPA and Dysmorphology","100417514"
"Adig","Acoustic Startle and Pre-pulse Inhibition (PPI)","109323"
"Adig","Acoustic Startle and Pre-pulse Inhibition (PPI)","246747"
"Adipoq","Gross Pathology and Tissue Collection","11450"
"Adipor1","Hematology|Clinical Chemistry|Eye Morphology|Auditory Brain Stem Response|Combined SHIRPA and Dysmorphology|Histopathology","72674"
"Adipor2","Histopathology|Gross Pathology and Tissue Collection|Combined SHIRPA and Dysmorphology|Organ Weight","68465"
"Adk","Gross Pathology and Tissue Collection|Open Field|X-ray","11534"
"Adm2","Gross Pathology and Tissue Collection|Open Field","223780"
"Adnp2","X-ray|Gross Pathology and Tissue Collection|Grip Strength|Acoustic Startle and Pre-pulse Inhibition (PPI)|Body Composition (DEXA lean/fat)|Clinical Chemistry|Eye Morphology|Histopathology|Combined SHIRPA and Dysmorphology","240442"
"Adora1","Body Composition (DEXA lean/fat)|Open Field - centre start|Grip Strength","11539"
"Adora2a","Hematology|Intraperitoneal glucose tolerance test (IPGTT)|Clinical Chemistry","11540"
"Adora2b","Eye Morphology|Intraperitoneal glucose tolerance test (IPGTT)|Electroconvulsive Threshold Testing","11541"
"Adpgk","Clinical Chemistry|Body Composition (DEXA lean/fat)","72141"
"Adprhl2","Body Composition (DEXA lean/fat)","100206"
"Adprm","Open Field|Acoustic Startle and Pre-pulse Inhibition (PPI)|Echo|Grip Strength","66358"
"Adra2a","Open Field|Intraperitoneal glucose tolerance test (IPGTT)|Acoustic Startle and Pre-pulse Inhibition (PPI)|Gross Pathology and Tissue Collection","11551"
"Adrb2","Gross Pathology and Tissue Collection","11555"
"Adsl","Gross Pathology and Tissue Collection|Eye Morphology|Viability E9.5 Secondary Screen","11564"
"Adss","Hematology|Clinical Chemistry|Viability Primary Screen|Viability E9.5 Secondary Screen|Viability E12.5 Secondary Screen","11565"
"Adss","Hematology|Clinical Chemistry|Viability Primary Screen|Viability E9.5 Secondary Screen|Viability E12.5 Secondary Screen","11566"
"Adtrp","Body Composition (DEXA lean/fat)|Echo","109254"
"Aebp1","Gross Pathology and Tissue Collection|Viability Primary Screen|Gross Morphology Embryo E14.5-E15.5","11568"
"Afap1l1","Hematology","106877"
"Afap1l2","Open Field|Clinical Chemistry|Insulin Blood Level|Body Composition (DEXA lean/fat)|Electrocardiogram (ECG)|Hematology|Auditory Brain Stem Response|Intraperitoneal glucose tolerance test (IPGTT)|Gross Pathology and Tissue Collection","226250"
"Afdn","Gross Pathology and Tissue Collection|Gross Morphology Embryo E9.5|Viability Primary Screen","17356"
"Aff3","X-ray|Clinical Chemistry|Combined SHIRPA and Dysmorphology|Grip Strength","16764"
"Aff4","Gross Pathology and Tissue Collection|Gross Morphology Embryo E14.5-E15.5|Gross Morphology Placenta E14.5-E15.5|Viability Primary Screen","93736"
"Afg1l","Body Weight|Combined SHIRPA and Dysmorphology|Eye Morphology|Open Field|Auditory Brain Stem Response|Heart Weight","215951"
"Afmid","Hematology|Clinical Chemistry","71562"
"Aftph","Viability Primary Screen","216549"
"Agap1","X-ray|Combined SHIRPA and Dysmorphology|Auditory Brain Stem Response|Eye Morphology|Insulin Blood Level|Hematology|Viability Primary Screen|Body Composition (DEXA lean/fat)|Clinical Chemistry","347722"
"Agbl1","Eye Morphology|Body Composition (DEXA lean/fat)|Open Field - centre start|Electrocardiogram (ECG)","244071"
"Agbl4","Open Field|Hematology|Insulin Blood Level","78933"
"Agbl5","Clinical Chemistry","231093"
"Agl","Electrocardiogram (ECG)|Body Composition (DEXA lean/fat)|Eye Morphology|Clinical Chemistry|Combined SHIRPA and Dysmorphology|Intraperitoneal glucose tolerance test (IPGTT)|Viability Primary Screen","77559"
"Ago1","Viability Primary Screen","236511"
"Ago3","Grip Strength|Clinical Chemistry|Insulin Blood Level","214150"
"Agpat1","Electrocardiogram (ECG)|Clinical Chemistry|Viability Primary Screen|Acoustic Startle and Pre-pulse Inhibition (PPI)","55979"
"Agpat3","Histopathology|Viability Primary Screen","28169"
"Agpat4","Hematology|Body Composition (DEXA lean/fat)|Intraperitoneal glucose tolerance test (IPGTT)","68262"
"Agtr1a","Hematology|Gross Pathology and Tissue Collection|Organ Weight","11607"
"Ahctf1","Viability Primary Screen|Eye Morphology","226747"
"Ahcy","Viability E12.5 Secondary Screen|Grip Strength|Hematology|Acoustic Startle and Pre-pulse Inhibition (PPI)|Viability E9.5 Secondary Screen","269378"
"Ahcyl1","Eye Morphology|Body Composition (DEXA lean/fat)|Clinical Chemistry|Insulin Blood Level|Hematology","229709"
"Ahnak","Viability Primary Screen","66395"
"Ahrr","Auditory Brain Stem Response|Open Field - centre start|Hematology|Plasma Chemistry|Eye Morphology|Sleep Wake","11624"
"Ahsa1","Eye Morphology","217737"
"Ahsa2","Eye Morphology","268390"
"Ahsg","X-ray|Auditory Brain Stem Response","11625"
"AI837181","Eye Morphology|Open Field|Heart Weight","107242"
"Aicda","Clinical Chemistry|Hematology|Body Composition (DEXA lean/fat)","11628"
"Aif1","Eye Morphology|Clinical Chemistry|Electrocardiogram (ECG)|Intraperitoneal glucose tolerance test (IPGTT)|Insulin Blood Level","11629"
